mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0044057369232177734,0.0027561128056933443,0.0027856826782226562,0.0016519612602988723,euclidean,3,uniform,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.8666666666666667,0.9666666666666667,0.9,0.9,0.9333333333333333,0.9133333333333333,0.03399346342395189,10
0.0015762805938720702,0.0010567078579710866,0.002005147933959961,0.0008043697516199208,euclidean,3,distance,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.8666666666666667,0.9666666666666667,0.9333333333333333,0.9,0.9333333333333333,0.9199999999999999,0.03399346342395189,5
0.000396728515625,9.827288761528287e-05,0.001091909408569336,0.0004218469597652586,euclidean,5,uniform,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.8333333333333334,0.9666666666666667,0.9,0.9,0.9333333333333333,0.9066666666666666,0.044221663871405324,13
0.0008391857147216797,0.0009682505843249259,0.0009748458862304688,0.000806393900113407,euclidean,5,distance,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.8333333333333334,0.9666666666666667,0.9,0.9,0.9333333333333333,0.9066666666666666,0.044221663871405324,13
0.00034651756286621096,4.6611801732509616e-05,0.0008556842803955078,0.00018475917015078194,euclidean,7,uniform,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.8333333333333334,0.9333333333333333,0.9,0.9333333333333333,0.9333333333333333,0.9066666666666666,0.038873012632301994,13
0.00028676986694335936,1.1327667897658085e-05,0.0011833667755126952,0.001368458806187165,euclidean,7,distance,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.8333333333333334,0.9333333333333333,0.9,0.9333333333333333,0.9333333333333333,0.9066666666666666,0.038873012632301994,13
0.0006459236145019531,0.0004973822409391681,0.003525257110595703,0.00432352553742003,euclidean,9,uniform,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.8333333333333334,0.9666666666666667,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9066666666666668,0.04898979485566356,12
0.001505422592163086,0.0015324293395759842,0.0010858535766601562,0.0004758677307992234,euclidean,9,distance,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.8333333333333334,0.9666666666666667,0.9,0.9333333333333333,0.9333333333333333,0.9133333333333334,0.04521553322083511,9
0.00047941207885742186,0.00028765200679350614,0.0008101940155029296,6.885756412233955e-05,euclidean,11,uniform,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}",0.8333333333333334,0.9666666666666667,0.8666666666666667,0.9,0.9333333333333333,0.9,0.04714045207910316,19
0.0004206180572509766,0.00023933379939664262,0.0006961345672607422,0.00037117009907807337,euclidean,11,distance,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}",0.8333333333333334,0.9666666666666667,0.8666666666666667,0.9,0.9333333333333333,0.9,0.04714045207910316,19
0.0004638195037841797,0.0003686072938496361,0.000838470458984375,0.00020215339094162342,euclidean,15,uniform,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",0.8,0.9333333333333333,0.8333333333333334,0.8666666666666667,0.9333333333333333,0.8733333333333334,0.05333333333333332,24
0.001717853546142578,0.0019157365385773077,0.0022763729095458983,0.001829262705954565,euclidean,15,distance,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'distance'}",0.8333333333333334,0.9666666666666667,0.8666666666666667,0.9,0.9333333333333333,0.9,0.04714045207910316,19
0.0009766578674316405,0.0011081338292336126,0.002190971374511719,0.0021828062962113842,euclidean,21,uniform,"{'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}",0.8,0.8333333333333334,0.8333333333333334,0.8,0.9,0.8333333333333334,0.036514837167011066,27
0.00030026435852050783,2.5433172714418334e-05,0.0005433559417724609,2.102846461351845e-05,euclidean,21,distance,"{'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'distance'}",0.8333333333333334,0.9666666666666667,0.8333333333333334,0.8333333333333334,0.9333333333333333,0.8800000000000001,0.0581186525805423,23
0.00028910636901855467,1.5104226262629983e-05,0.0006748676300048828,3.481224777525015e-05,manhattan,3,uniform,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.8666666666666667,0.9333333333333333,0.9,0.9,0.9333333333333333,0.9066666666666666,0.024944382578492942,13
0.0002704143524169922,9.041566859171016e-06,0.0012316703796386719,0.0009603748843928665,manhattan,3,distance,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.8666666666666667,0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9666666666666667,0.9333333333333333,0.036514837167011066,1
0.00044040679931640626,0.00014709250806583813,0.0018776893615722657,0.0018303382211909505,manhattan,5,uniform,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.8666666666666667,1.0,0.8666666666666667,0.9,0.9333333333333333,0.9133333333333333,0.04988876515698587,10
0.0007832527160644531,0.00046783245219828907,0.0021096229553222655,0.0013736778085441808,manhattan,5,distance,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.8666666666666667,1.0,0.9333333333333333,0.9,0.9666666666666667,0.9333333333333332,0.04714045207910316,2
0.0005174160003662109,0.0002265662741854121,0.0012715816497802734,0.000621869197691253,manhattan,7,uniform,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.8666666666666667,0.9333333333333333,0.9,0.9333333333333333,0.9666666666666667,0.9200000000000002,0.03399346342395189,4
0.0011111259460449218,0.0008567648068303834,0.0009378433227539062,0.00032014864557083477,manhattan,7,distance,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.9266666666666667,0.03265986323710904,3
0.0005738258361816407,0.00032153417743543934,0.0011063098907470703,0.0006502227861085148,manhattan,9,uniform,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.8666666666666667,0.9666666666666667,0.9,0.9,0.9666666666666667,0.9199999999999999,0.039999999999999994,5
0.0004445552825927734,0.00018814683096087792,0.0007150650024414062,0.00039043773016908523,manhattan,9,distance,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.8666666666666667,0.9666666666666667,0.9,0.9,0.9666666666666667,0.9199999999999999,0.039999999999999994,5
0.001341867446899414,0.0013280480833337566,0.0014065265655517577,0.000779424614384399,manhattan,11,uniform,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}",0.8666666666666667,0.9666666666666667,0.8666666666666667,0.9,0.9333333333333333,0.9066666666666666,0.038873012632301994,13
0.0007617950439453125,0.0006097891086076793,0.0010921001434326173,0.0004252087871378999,manhattan,11,distance,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}",0.8666666666666667,0.9666666666666667,0.9,0.9,0.9666666666666667,0.9199999999999999,0.039999999999999994,5
0.0005574703216552734,0.00023776103900198232,0.0009694099426269531,0.0003287461446067918,manhattan,15,uniform,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",0.8,0.9333333333333333,0.8666666666666667,0.8,0.9333333333333333,0.8666666666666668,0.059628479399994376,25
0.0004451274871826172,0.00014207226894536568,0.0006100654602050782,4.638951655470757e-05,manhattan,15,distance,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}",0.8333333333333334,0.9666666666666667,0.8666666666666667,0.9,0.9333333333333333,0.9,0.04714045207910316,19
0.0005610942840576172,0.0005115287500032227,0.0014124870300292968,0.0008230861536311489,manhattan,21,uniform,"{'metric': 'manhattan', 'n_neighbors': 21, 'weights': 'uniform'}",0.8,0.8666666666666667,0.8,0.7666666666666667,0.9,0.8266666666666668,0.04898979485566354,28
0.0006132125854492188,0.0002658630794230728,0.0007870197296142578,0.0001613279007409762,manhattan,21,distance,"{'metric': 'manhattan', 'n_neighbors': 21, 'weights': 'distance'}",0.8333333333333334,0.9666666666666667,0.8,0.8,0.9,0.8600000000000001,0.06463573143221771,26
